TSP Prison Population Over Time;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981; 353 673 ; 22 169 ; 7 199 ; 708 ; 5 199 ; 3 297 ; 27 913 ; 2 770 ; 2 995 ; 1 248 ; - ; 23 200 ; 12 377 ; 757 ; 957 ; 12 996 ; 7 559 ; 2 554 ; 2 770 ; 4 167 ; 9 415 ; 806 ; 9 335 ; 3 791 ; 15 157 ; 2 024 ; 4 494 ; 6 489 ; 828 ; 1 640 ; 2 116 ; 398 ; 6 861 ; 1 345 ; 25 599 ; 14 854 ; 218 ; 14 968 ; 5 281 ; 3 292 ; 9 291 ; 689 ; 8 010 ; 662 ; 7 897 ; 31 502 ; 1 126 ; 395 ; 9 013 ; 5 336 ; 1 565 ; 4 416 ; 587 
1982; 395 516 ; 23 652 ; 8 581 ; 872 ; 6 048 ; 3 922 ; 33 583 ; 3 042 ; 3 129 ; 1 513 ; - ; 27 139 ; 14 038 ; 903 ; 1 044 ; 13 949 ; 8 295 ; 2 829 ; 3 078 ; 4 031 ; 10 930 ; 892 ; 11 032 ; 4 238 ; 14 913 ; 2 081 ; 5 359 ; 7 445 ; 914 ; 1 584 ; 2 753 ; 445 ; 7 990 ; 1 447 ; 27 945 ; 15 349 ; 276 ; 17 317 ; 6 500 ; 3 900 ; 10 448 ; 781 ; 8 629 ; 755 ; 7 869 ; 36 149 ; 1 199 ; 435 ; 9 715 ; 6 264 ; 1 547 ; 4 714 ; 702 
1983; 419 346 ; 26 331 ; 9 641 ; 1 072 ; 6 743 ; 4 246 ; 38 025 ; 3 244 ; 3 577 ; 1 579 ; - ; 25 393 ; 14 935 ; 1 065 ; 1 187 ; 15 522 ; 8 973 ; 2 814 ; 3 705 ; 4 773 ; 12 812 ; 861 ; 11 979 ; 4 372 ; 14 510 ; 2 113 ; 5 481 ; 8 103 ; 901 ; 1 551 ; 3 188 ; 479 ; 9 192 ; 1 708 ; 30 510 ; 14 257 ; 350 ; 18 007 ; 7 480 ; 3 952 ; 11 699 ; 878 ; 9 076 ; 808 ; 8 201 ; 35 259 ; 1 261 ; 378 ; 9 855 ; 6 658 ; 1 611 ; 4 845 ; 721 
1984; 443 398 ; 27 602 ; 10 246 ; 1 293 ; 7 646 ; 4 472 ; 41 783 ; 3 231 ; 3 748 ; 1 546 ; - ; 26 759 ; 15 000 ; 1 330 ; 1 253 ; 17 114 ; 9 063 ; 2 836 ; 4 244 ; 4 820 ; 13 659 ; 847 ; 12 442 ; 4 738 ; 14 604 ; 2 167 ; 5 974 ; 8 780 ; 965 ; 1 566 ; 3 488 ; 581 ; 10 363 ; 1 908 ; 33 109 ; 15 219 ; 375 ; 18 619 ; 7 872 ; 4 224 ; 12 998 ; 891 ; 9 281 ; 904 ; 7 302 ; 36 682 ; 1 487 ; 392 ; 10 665 ; 6 821 ; 1 585 ; 4 902 ; 724 
1985; 480 568 ; 32 695 ; 10 749 ; 1 530 ; 8 273 ; 4 611 ; 48 279 ; 3 369 ; 4 326 ; 1 759 ; - ; 28 482 ; 15 115 ; 1 428 ; 1 294 ; 18 634 ; 9 615 ; 2 832 ; 4 732 ; 5 801 ; 13 890 ; 967 ; 12 303 ; 5 390 ; 17 755 ; 2 343 ; 6 208 ; 9 915 ; 1 129 ; 1 733 ; 3 771 ; 683 ; 11 335 ; 2 112 ; 34 712 ; 16 007 ; 375 ; 20 864 ; 8 330 ; 4 454 ; 14 119 ; 964 ; 9 908 ; 1 035 ; 7 127 ; 37 532 ; 1 623 ; 443 ; 11 717 ; 6 909 ; 1 725 ; 5 412 ; 758 
1986; 522 084 ; 36 531 ; 11 504 ; 1 666 ; 9 038 ; 4 701 ; 57 725 ; 3 804 ; 4 326 ; 1 946 ; - ; 32 228 ; 16 291 ; 1 521 ; 1 448 ; 19 456 ; 9 963 ; 2 777 ; 5 345 ; 5 288 ; 14 300 ; 1 242 ; 12 559 ; 5 636 ; 20 742 ; 2 462 ; 6 561 ; 10 309 ; 1 111 ; 1 863 ; 4 367 ; 782 ; 12 020 ; 2 306 ; 38 449 ; 16 373 ; 361 ; 22 463 ; 9 596 ; 4 770 ; 15 165 ; 1 007 ; 11 022 ; 1 133 ; 7 591 ; 38 534 ; 1 814 ; 439 ; 12 545 ; 6 603 ; 1 482 ; 5 678 ; 855 
1987; 560 812 ; 39 523 ; 12 602 ; 1 767 ; 10 558 ; 5 441 ; 64 812 ; 4 808 ; 4 637 ; 2 116 ; - ; 32 360 ; 17 724 ; 1 536 ; 1 435 ; 19 850 ; 10 634 ; 2 851 ; 5 781 ; 6 436 ; 15 375 ; 1 267 ; 12 912 ; 6 265 ; 23 879 ; 2 546 ; 6 719 ; 11 146 ; 1 187 ; 1 963 ; 4 434 ; 867 ; 15 548 ; 2 626 ; 40 842 ; 16 118 ; 380 ; 24 220 ; 9 639 ; 5 482 ; 16 246 ; 991 ; 11 862 ; 1 133 ; 7 624 ; 38 821 ; 1 858 ; 505 ; 12 931 ; 6 131 ; 1 461 ; 6 080 ; 916 
1988; 603 732 ; 42 738 ; 12 357 ; 1 862 ; 11 578 ; 5 519 ; 73 780 ; 5 765 ; 4 723 ; 2 207 ; - ; 34 681 ; 18 018 ; 1 510 ; 1 581 ; 21 081 ; 11 271 ; 3 034 ; 5 817 ; 7 119 ; 16 242 ; 1 214 ; 13 572 ; 1 214 ; 27 612 ; 2 799 ; 7 251 ; 12 176 ; 1 272 ; 2 066 ; 4 881 ; 1 019 ; 16 936 ; 2 723 ; 44 560 ; 16 251 ; 414 ; 26 462 ; 10 448 ; 5 991 ; 17 883 ; 1 179 ; 12 902 ; 1 020 ; 7 720 ; 40 437 ; 1 944 ; 553 ; 13 928 ; 5 816 ; 1 455 ; 6 325 ; 945 
1989; 680 907 ; 47 168 ; 13 575 ; 1 908 ; 12 726 ; 6 306 ; 84 338 ; 6 908 ; 6 309 ; 2 284 ; - ; 39 966 ; 19 619 ; 1 752 ; 1 850 ; 24 712 ; 12 220 ; 3 584 ; 5 616 ; 8 289 ; 17 257 ; 1 432 ; 15 378 ; 7 268 ; 31 639 ; 3 103 ; 7 700 ; 13 921 ; 1 328 ; 2 278 ; 5 112 ; 1 166 ; 19 439 ; 2 759 ; 51 227 ; 16 628 ; 404 ; 30 538 ; 11 608 ; 6 744 ; 20 458 ; 1 469 ; 14 808 ; 1 252 ; 10 630 ; 44 022 ; 2 368 ; 626 ; 16 273 ; 6 928 ; 1 536 ; 6 775 ; 1 016 
1990; 739 980 ; 50 810 ; 15 365 ; 1 851 ; 13 781 ; 6 718 ; 94 122 ; 7 671 ; 7 771 ; 2 241 ; - ; 44 380 ; 21 605 ; 1 708 ; 1 961 ; 27 516 ; 12 615 ; 3 967 ; 5 777 ; 9 023 ; 18 599 ; 1 480 ; 16 734 ; 7 899 ; 34 267 ; 3 176 ; 8 084 ; 14 943 ; 1 425 ; 2 286 ; 5 322 ; 1 342 ; 21 128 ; 3 067 ; 54 895 ; 17 764 ; 435 ; 31 822 ; 12 285 ; 6 492 ; 22 281 ; 1 586 ; 16 208 ; 1 341 ; 10 388 ; 50 042 ; 2 474 ; 691 ; 17 418 ; 7 995 ; 1 565 ; 7 335 ; 1 110 
1991; 789 612 ; 56 696 ; 16 400 ; 1 840 ; 14 843 ; 7 722 ; 98 515 ; 8 392 ; 8 585 ; 2 430 ; - ; 46 533 ; 22 910 ; 1 766 ; 2 143 ; 29 115 ; 12 865 ; 4 145 ; 5 903 ; 9 799 ; 20 003 ; 1 558 ; 17 824 ; 8 561 ; 36 423 ; 3 472 ; 8 682 ; 15 897 ; 1 478 ; 2 375 ; 5 503 ; 1 533 ; 23 483 ; 3 016 ; 57 862 ; 18 272 ; 441 ; 35 744 ; 13 340 ; 6 732 ; 23 386 ; 1 749 ; 17 208 ; 1 374 ; 11 474 ; 51 677 ; 2 605 ; 733 ; 19 660 ; 9 156 ; 1 502 ; 7 819 ; 1 099 
1992; 846 277 ; 65 706 ; 16 938 ; 1 944 ; 15 850 ; 8 195 ; 105 467 ; 8 997 ; 8 794 ; 2 708 ; - ; 48 285 ; 24 848 ; 1 922 ; 2 256 ; 31 640 ; 13 791 ; 4 518 ; 6 028 ; 10 364 ; 20 812 ; 1 492 ; 18 808 ; 9 665 ; 39 113 ; 3 822 ; 8 593 ; 16 181 ; 1 498 ; 2 435 ; 6 049 ; 1 777 ; 22 653 ; 3 154 ; 61 736 ; 19 965 ; 428 ; 38 378 ; 14 821 ; 5 236 ; 24 966 ; 1 710 ; 17 612 ; 1 487 ; 11 849 ; 61 178 ; 2 687 ; 865 ; 20 989 ; 9 959 ; 1 674 ; 8 837 ; 1 063 
1993; 932 074 ; 74 795 ; 18 169 ; 1 954 ; 17 160 ; 7 984 ; 115 573 ; 9 462 ; 10 508 ; 2 781 ; - ; 52 883 ; 27 079 ; 2 330 ; 2 606 ; 34 495 ; 14 364 ; 4 898 ; 5 727 ; 10 440 ; 22 468 ; 1 446 ; 19 121 ; 10 145 ; 39 318 ; 4 200 ; 9 769 ; 16 178 ; 1 541 ; 2 467 ; 6 138 ; 1 775 ; 23 831 ; 3 373 ; 64 569 ; 21 367 ; 446 ; 40 641 ; 16 409 ; 5 111 ; 26 055 ; 1 719 ; 17 896 ; 1 553 ; 12 824 ; 92 013 ; 2 871 ; 893 ; 22 635 ; 10 419 ; 1 805 ; 8 422 ; 1 128 
1994; 1 016 690 ; 79 795 ; 19 074 ; 1 934 ; 19 005 ; 8 517 ; 121 084 ; 10 717 ; 10 500 ; 2 844 ; - ; 57 157 ; 32 523 ; 2 392 ; 2 811 ; 36 531 ; 14 916 ; 5 437 ; 6 371 ; 11 066 ; 24 063 ; 1 401 ; 19 854 ; 10 401 ; 40 631 ; 4 575 ; 10 606 ; 17 898 ; 1 764 ; 2 667 ; 6 993 ; 2 021 ; 24 632 ; 3 533 ; 66 750 ; 23 046 ; 501 ; 43 074 ; 16 631 ; 5 935 ; 28 294 ; 1 854 ; 18 168 ; 1 708 ; 14 401 ; 118 195 ; 3 028 ; 981 ; 26 792 ; 10 833 ; 2 332 ; 9 521 ; 1 217 
1995; 1 085 020 ; 83 663 ; 20 130 ; 2 042 ; 20 291 ; 8 520 ; 131 745 ; 11 063 ; 10 419 ; 3 014 ; - ; 63 866 ; 34 168 ; 2 590 ; 3 328 ; 37 658 ; 16 046 ; 5 906 ; 7 054 ; 12 060 ; 25 195 ; 1 326 ; 20 450 ; 10 427 ; 41 112 ; 4 846 ; 12 251 ; 19 134 ; 1 999 ; 3 006 ; 7 713 ; 2 015 ; 27 066 ; 3 925 ; 68 486 ; 27 914 ; 544 ; 44 663 ; 18 151 ; 6 515 ; 32 410 ; 1 833 ; 19 015 ; 1 871 ; 15 206 ; 127 766 ; 3 447 ; 1 048 ; 27 260 ; 11 608 ; 2 483 ; 10 337 ; 1 395 
1996; 1 137 720 ; 88 815 ; 21 108 ; 2 335 ; 21 523 ; 8 992 ; 142 865 ; 12 438 ; 12 465 ; 3 119 ; - ; 63 746 ; 34 328 ; 2 954 ; 3 832 ; 38 852 ; 16 791 ; 6 342 ; 7 756 ; 12 910 ; 26 779 ; 1 351 ; 20 980 ; 10 880 ; 42 349 ; 5 158 ; 13 143 ; 22 003 ; 2 293 ; 3 223 ; 8 439 ; 2 062 ; 27 490 ; 4 506 ; 69 709 ; 27 751 ; 650 ; 46 174 ; 19 593 ; 7 316 ; 34 535 ; 2 031 ; 19 758 ; 2 063 ; 15 626 ; 132 383 ; 3 946 ; 801 ; 27 062 ; 12 527 ; 2 725 ; 12 340 ; 1 499 
1997; 1 194 330 ; 94 987 ; 21 680 ; 2 571 ; 22 353 ; 9 936 ; 152 739 ; 13 461 ; 11 920 ; 3 264 ; - ; 64 574 ; 35 787 ; 3 448 ; 3 911 ; 40 788 ; 17 730 ; 6 938 ; 7 911 ; 14 600 ; 29 265 ; 1 542 ; 21 088 ; 10 847 ; 44 771 ; 5 306 ; 13 676 ; 23 998 ; 2 517 ; 3 329 ; 9 024 ; 2 168 ; 28 361 ; 4 450 ; 70 021 ; 27 567 ; 715 ; 48 016 ; 20 542 ; 7 589 ; 34 957 ; 2 100 ; 20 264 ; 2 242 ; 16 659 ; 140 351 ; 4 280 ; 828 ; 27 524 ; 13 214 ; 3 148 ; 15 639 ; 1 549 
1998; 1 256 470 ; 103 682 ; 22 214 ; 2 541 ; 23 500 ; 10 561 ; 159 201 ; 14 312 ; 12 193 ; 3 211 ; - ; 67 193 ; 38 758 ; 3 670 ; 4 083 ; 43 051 ; 19 016 ; 7 394 ; 8 183 ; 14 987 ; 32 228 ; 1 641 ; 21 540 ; 10 744 ; 45 879 ; 5 557 ; 15 855 ; 24 950 ; 2 734 ; 3 588 ; 9 651 ; 2 169 ; 31 121 ; 4 825 ; 70 001 ; 27 244 ; 834 ; 48 450 ; 20 892 ; 8 935 ; 36 373 ; 2 175 ; 20 910 ; 2 417 ; 17 738 ; 139 863 ; 4 402 ; 959 ; 28 672 ; 14 161 ; 3 478 ; 17 951 ; 1 571 
1999; 1 304 080 ; 114 275 ; 24 109 ; 2 325 ; 23 944 ; 11 336 ; 160 517 ; 15 670 ; 13 032 ; 3 730 ; - ; 69 594 ; 42 008 ; 3 817 ; 4 842 ; 44 660 ; 19 260 ; 7 232 ; 8 567 ; 15 317 ; 34 066 ; 1 663 ; 22 184 ; 10 282 ; 46 617 ; 5 955 ; 17 410 ; 26 133 ; 2 951 ; 3 632 ; 9 413 ; 2 257 ; 31 493 ; 4 730 ; 72 899 ; 26 672 ; 866 ; 46 842 ; 22 393 ; 9 840 ; 36 525 ; 1 908 ; 21 228 ; 2 498 ; 22 502 ; 154 865 ; 5 164 ; 1 178 ; 29 088 ; 14 558 ; 3 532 ; 19 699 ; 1 713 
2000; 1 334 170 ; 125 044 ; 26 034 ; 2 128 ; 25 412 ; 11 851 ; 160 412 ; 16 833 ; 13 155 ; 3 937 ; - ; 71 318 ; 44 141 ; 3 553 ; 5 535 ; 45 281 ; 19 811 ; 7 955 ; 8 344 ; 14 919 ; 35 207 ; 1 635 ; 22 490 ; 9 479 ; 47 718 ; 6 238 ; 19 239 ; 27 519 ; 3 105 ; 3 816 ; 10 063 ; 2 257 ; 29 784 ; 4 666 ; 70 199 ; 27 043 ; 994 ; 45 833 ; 23 181 ; 10 553 ; 36 844 ; 1 966 ; 21 017 ; 2 613 ; 22 166 ; 158 008 ; 5 541 ; 1 313 ; 29 643 ; 14 666 ; 3 795 ; 20 336 ; 1 680 
2001; 1 345 220 ; 136 509 ; 26 138 ; 2 196 ; 26 463 ; 12 496 ; 157 295 ; 17 448 ; 13 276 ; 4 033 ; - ; 72 404 ; 45 904 ; 3 670 ; 5 984 ; 44 348 ; 20 883 ; 7 962 ; 8 577 ; 15 104 ; 35 810 ; 1 641 ; 22 842 ; 9 355 ; 48 849 ; 6 606 ; 20 476 ; 28 736 ; 3 328 ; 3 865 ; 10 233 ; 2 392 ; 28 142 ; 5 408 ; 67 533 ; 27 628 ; 1 027 ; 45 281 ; 22 780 ; 11 368 ; 38 057 ; 1 926 ; 21 606 ; 2 781 ; 23 671 ; 153 056 ; 5 254 ; 1 313 ; 31 662 ; 15 020 ; 4 164 ; 21 033 ; 1 684 
2002; 1 380 520 ; 143 040 ; 27 532 ; 2 577 ; 28 008 ; 12 999 ; 160 329 ; 18 833 ; 14 082 ; 3 659 ; - ; 75 204 ; 47 424 ; 3 840 ; 6 204 ; 42 693 ; 21 542 ; 8 398 ; 8 935 ; 15 572 ; 35 736 ; 1 817 ; 23 274 ; 8 947 ; 50 591 ; 7 129 ; 21 397 ; 30 080 ; 3 290 ; 3 972 ; 10 478 ; 2 451 ; 27 891 ; 5 772 ; 67 065 ; 28 772 ; 1 025 ; 45 646 ; 23 385 ; 12 075 ; 40 164 ; 2 045 ; 22 837 ; 2 891 ; 24 989 ; 151 782 ; 5 461 ; 1 321 ; 33 729 ; 15 922 ; 4 504 ; 21 324 ; 1 737 
2003; 1 408 360 ; 151 919 ; 27 272 ; 2 629 ; 29 722 ; 13 244 ; 162 678 ; 19 671 ; 13 587 ; 4 122 ; - ; 82 003 ; 47 200 ; 4 167 ; 5 737 ; 43 418 ; 23 007 ; 8 546 ; 9 132 ; 16 190 ; 36 047 ; 1 951 ; 23 230 ; 8 814 ; 49 358 ; 7 865 ; 19 569 ; 30 275 ; 3 620 ; 3 976 ; 10 543 ; 2 434 ; 27 246 ; 5 934 ; 65 198 ; 29 394 ; 1 147 ; 44 778 ; 22 448 ; 12 695 ; 40 880 ; 1 983 ; 22 942 ; 3 016 ; 25 403 ; 156 534 ; 5 681 ; 1 401 ; 35 067 ; 16 036 ; 4 715 ; 22 065 ; 1 872 
2004; 1 433 730 ; 159 137 ; 25 257 ; 2 632 ; 31 106 ; 13 668 ; 164 933 ; 20 293 ; 13 240 ; 4 087 ; - ; 85 530 ; 51 089 ; 4 174 ; 6 375 ; 44 054 ; 23 939 ; 8 525 ; 8 966 ; 17 140 ; 36 939 ; 1 961 ; 22 696 ; 8 688 ; 48 883 ; 8 758 ; 19 469 ; 31 061 ; 3 877 ; 4 038 ; 11 280 ; 2 448 ; 26 757 ; 6 111 ; 63 751 ; 30 683 ; 1 238 ; 44 806 ; 22 913 ; 13 167 ; 40 931 ; 1 894 ; 22 730 ; 3 088 ; 25 884 ; 157 617 ; 5 916 ; 1 451 ; 35 564 ; 16 503 ; 5 026 ; 21 540 ; 1 980 
2005; 1 462 870 ; 166 173 ; 27 003 ; 2 781 ; 31 411 ; 13 383 ; 168 982 ; 21 456 ; 13 121 ; 3 972 ; - ; 89 766 ; 48 741 ; 4 422 ; 6 818 ; 44 919 ; 24 416 ; 8 737 ; 9 068 ; 19 215 ; 36 083 ; 1 905 ; 22 143 ; 9 081 ; 49 546 ; 9 281 ; 19 335 ; 30 803 ; 3 509 ; 4 330 ; 11 644 ; 2 520 ; 27 359 ; 6 292 ; 62 485 ; 31 522 ; 1 327 ; 45 854 ; 24 414 ; 13 390 ; 42 345 ; 2 025 ; 22 464 ; 3 454 ; 26 369 ; 159 255 ; 6 275 ; 1 542 ; 35 344 ; 17 320 ; 5 292 ; 21 927 ; 2 047 
2006; 1 504 600 ; 173 533 ; 27 526 ; 3 116 ; 31 830 ; 13 713 ; 173 942 ; 22 481 ; 13 746 ; 4 195 ; - ; 92 874 ; 52 781 ; 4 373 ; 7 124 ; 45 106 ; 26 055 ; 8 838 ; 8 816 ; 19 514 ; 36 376 ; 1 997 ; 22 316 ; 9 472 ; 51 577 ; 9 108 ; 19 219 ; 30 146 ; 3 547 ; 4 204 ; 12 753 ; 2 737 ; 27 371 ; 6 361 ; 62 974 ; 32 219 ; 1 363 ; 49 166 ; 23 889 ; 13 667 ; 43 998 ; 2 149 ; 22 861 ; 3 350 ; 25 745 ; 162 193 ; 6 339 ; 1 634 ; 36 688 ; 17 483 ; 5 719 ; 21 881 ; 2 114 
2007; 1 532 850 ; 179 204 ; 28 605 ; 3 072 ; 35 490 ; 14 310 ; 172 856 ; 22 841 ; 14 397 ; 4 201 ; - ; 98 219 ; 54 232 ; 4 367 ; 7 319 ; 45 215 ; 27 114 ; 8 732 ; 8 696 ; 21 823 ; 37 341 ; 1 950 ; 22 780 ; 9 872 ; 50 233 ; 9 468 ; 21 502 ; 29 844 ; 3 431 ; 4 329 ; 13 245 ; 2 930 ; 26 827 ; 6 225 ; 62 174 ; 33 016 ; 1 416 ; 50 731 ; 24 197 ; 13 918 ; 45 446 ; 2 481 ; 23 314 ; 3 306 ; 26 267 ; 161 695 ; 6 421 ; 1 617 ; 37 984 ; 17 757 ; 6 049 ; 22 307 ; 2 084 
2008; 1 547 740 ; 182 333 ; 29 694 ; 2 966 ; 37 188 ; 14 660 ; 172 583 ; 23 274 ; 14 271 ; 4 067 ; - ; 102 388 ; 52 705 ; 4 304 ; 7 290 ; 45 474 ; 28 301 ; 8 766 ; 8 539 ; 21 059 ; 37 804 ; 1 985 ; 22 749 ; 10 166 ; 48 738 ; 9 406 ; 21 698 ; 30 175 ; 3 579 ; 4 424 ; 12 743 ; 2 904 ; 25 953 ; 6 315 ; 59 959 ; 34 229 ; 1 452 ; 51 686 ; 24 210 ; 14 131 ; 48 962 ; 2 522 ; 23 456 ; 3 333 ; 27 228 ; 156 979 ; 6 422 ; 1 618 ; 38 216 ; 17 926 ; 6 019 ; 21 103 ; 2 084 
2009; 1 553 570 ; 187 886 ; 30 723 ; 2 508 ; 38 529 ; 15 144 ; 170 131 ; 22 795 ; 13 466 ; 3 971 ; - ; 103 915 ; 55 516 ; 4 119 ; 7 400 ; 45 161 ; 28 788 ; 8 813 ; 8 641 ; 20 672 ; 39 780 ; 1 980 ; 21 868 ; 10 070 ; 45 478 ; 9 986 ; 20 768 ; 30 554 ; 3 605 ; 4 392 ; 12 482 ; 2 731 ; 25 382 ; 6 320 ; 58 455 ; 34 863 ; 1 486 ; 51 606 ; 24 396 ; 14 365 ; 51 316 ; 2 220 ; 23 486 ; 3 430 ; 26 965 ; 162 186 ; 6 524 ; 1 724 ; 38 059 ; 18 199 ; 6 313 ; 22 332 ; 2 075 
2010; 1 552 670 ; 190 641 ; 30 739 ; 2 775 ; 38 423 ; 16 147 ; 164 213 ; 22 815 ; 13 308 ; 3 961 ; - ; 104 306 ; 54 685 ; 3 939 ; 7 431 ; 48 418 ; 28 012 ; 9 388 ; 9 051 ; 19 937 ; 39 444 ; 1 942 ; 22 275 ; 10 027 ; 44 113 ; 9 796 ; 20 366 ; 30 614 ; 3 716 ; 4 498 ; 12 556 ; 2 761 ; 25 007 ; 6 614 ; 56 461 ; 35 436 ; 1 487 ; 51 712 ; 24 514 ; 14 831 ; 51 075 ; 2 086 ; 22 822 ; 3 431 ; 27 451 ; 164 652 ; 6 795 ; 1 649 ; 37 410 ; 18 212 ; 6 642 ; 21 973 ; 2 112 
